prompt,classname,classidx
apple,apple,0
backpack,backpack,1
ball,ball,2
banana,banana,3
baseballbat,baseballbat,4
baseballglove,baseballglove,5
bench,bench,6
bicycle,bicycle,7
book,book,8
bottle,bottle,9
bowl,bowl,10
broccoli,broccoli,11
cake,cake,12
car,car,13
carrot,carrot,14
cellphone,cellphone,15
chair,chair,16
couch,couch,17
cup,cup,18
donut,donut,19
frisbee,frisbee,20
hairdryer,hairdryer,21
handbag,handbag,22
hotdog,hotdog,23
hydrant,hydrant,24
keyboard,keyboard,25
kite,kite,26
laptop,laptop,27
microwave,microwave,28
motorcycle,motorcycle,29
mouse,mouse,30
orange,orange,31
parkingmeter,parkingmeter,32
pizza,pizza,33
plant,plant,34
remote,remote,35
sandwich,sandwich,36
skateboard,skateboard,37
stopsign,stopsign,38
suitcase,suitcase,39
teddybear,teddybear,40
toaster,toaster,41
toilet,toilet,42
toybus,toybus,43
toyplane,toyplane,44
toytrain,toytrain,45
toytruck,toytruck,46
tv,tv,47
umbrella,umbrella,48
vase,vase,49
wineglass,wineglass,50
