prompt,classname,classidx
Band Aid,Band Aid,0
Bible,Bible,1
CD player,CD player,2
Christmas tree,Christmas tree,3
Dixie cup,Dixie cup,4
Ferris wheel,Ferris wheel,5
Lego,Lego,6
Rollerblade,Rollerblade,7
Sharpie,Sharpie,8
Tabasco sauce,Tabasco sauce,9
aerosol can,aerosol can,10
air conditioner,air conditioner,11
airplane,airplane,12
alarm clock,alarm clock,13
alcohol,alcohol,14
alligator,alligator,15
almond,almond,16
ambulance,ambulance,17
amplifier,amplifier,18
anklet,anklet,19
antenna,antenna,20
apple,apple,21
apricot,apricot,22
apron,apron,23
aquarium,aquarium,24
arctic (type of shoe),arctic (type of shoe),25
armband,armband,26
armchair,armchair,27
armoire,armoire,28
armor,armor,29
army tank,army tank,30
artichoke,artichoke,31
ashtray,ashtray,32
asparagus,asparagus,33
atomizer,atomizer,34
automatic washer,automatic washer,35
avocado,avocado,36
award,award,37
awning,awning,38
ax,ax,39
baboon,baboon,40
baby buggy,baby buggy,41
backpack,backpack,42
bagel,bagel,43
baguet,baguet,44
bait,bait,45
ball,ball,46
ballet skirt,ballet skirt,47
balloon,balloon,48
bamboo,bamboo,49
banana,banana,50
bandage,bandage,51
bandanna,bandanna,52
banjo,banjo,53
banner,banner,54
barbell,barbell,55
barge,barge,56
barrel,barrel,57
barrow,barrow,58
baseball,baseball,59
baseball bat,baseball bat,60
baseball cap,baseball cap,61
baseball glove,baseball glove,62
basket,basket,63
basketball,basketball,64
basketball backboard,basketball backboard,65
bass horn,bass horn,66
bat (animal),bat (animal),67
bath mat,bath mat,68
bath towel,bath towel,69
bathrobe,bathrobe,70
bathtub,bathtub,71
battery,battery,72
beachball,beachball,73
bead,bead,74
beanbag,beanbag,75
beanie,beanie,76
bear,bear,77
bed,bed,78
bedpan,bedpan,79
bedspread,bedspread,80
beef (food),beef (food),81
beeper,beeper,82
beer bottle,beer bottle,83
beer can,beer can,84
beetle,beetle,85
bell,bell,86
bell pepper,bell pepper,87
belt,belt,88
belt buckle,belt buckle,89
bench,bench,90
beret,beret,91
bicycle,bicycle,92
billboard,billboard,93
binder,binder,94
binoculars,binoculars,95
bird,bird,96
birdbath,birdbath,97
birdcage,birdcage,98
birdfeeder,birdfeeder,99
birdhouse,birdhouse,100
birthday cake,birthday cake,101
birthday card,birthday card,102
blackberry,blackberry,103
blackboard,blackboard,104
blanket,blanket,105
blazer,blazer,106
blender,blender,107
blimp,blimp,108
blouse,blouse,109
blueberry,blueberry,110
boat,boat,111
bob,bob,112
bobbin,bobbin,113
boiled egg,boiled egg,114
bolo tie,bolo tie,115
bolt,bolt,116
bonnet,bonnet,117
book,book,118
bookcase,bookcase,119
booklet,booklet,120
bookmark,bookmark,121
boom microphone,boom microphone,122
boot,boot,123
bottle,bottle,124
bottle cap,bottle cap,125
bottle opener,bottle opener,126
bouquet,bouquet,127
bow tie,bow tie,128
bow (decorative ribbons),bow (decorative ribbons),129
bow (weapon),bow (weapon),130
bowl,bowl,131
bowler hat,bowler hat,132
bowling ball,bowling ball,133
box,box,134
boxing glove,boxing glove,135
bracelet,bracelet,136
brass plaque,brass plaque,137
brassiere,brassiere,138
bread,bread,139
bread bin,bread bin,140
breechcloth,breechcloth,141
bridal gown,bridal gown,142
briefcase,briefcase,143
broach,broach,144
broccoli,broccoli,145
broom,broom,146
brownie,brownie,147
brussels sprouts,brussels sprouts,148
bubble gum,bubble gum,149
bucket,bucket,150
bulldog,bulldog,151
bulldozer,bulldozer,152
bullet train,bullet train,153
bulletin board,bulletin board,154
bulletproof vest,bulletproof vest,155
bullhorn,bullhorn,156
bun,bun,157
bunk bed,bunk bed,158
buoy,buoy,159
burrito,burrito,160
bus (vehicle),bus (vehicle),161
business card,business card,162
butter,butter,163
butterfly,butterfly,164
button,button,165
cab (taxi),cab (taxi),166
cabana,cabana,167
cabin car,cabin car,168
cabinet,cabinet,169
cake,cake,170
calculator,calculator,171
calendar,calendar,172
calf,calf,173
camcorder,camcorder,174
camel,camel,175
camera,camera,176
camera lens,camera lens,177
camper (vehicle),camper (vehicle),178
can,can,179
can opener,can opener,180
candle,candle,181
candle holder,candle holder,182
candy bar,candy bar,183
candy cane,candy cane,184
canister,canister,185
canoe,canoe,186
cantaloup,cantaloup,187
canteen,canteen,188
cap (headwear),cap (headwear),189
cape,cape,190
cappuccino,cappuccino,191
car (automobile),car (automobile),192
car battery,car battery,193
card,card,194
cardigan,cardigan,195
cargo ship,cargo ship,196
carnation,carnation,197
carrot,carrot,198
cart,cart,199
carton,carton,200
cash register,cash register,201
casserole,casserole,202
cassette,cassette,203
cast,cast,204
cat,cat,205
cauliflower,cauliflower,206
cayenne (spice),cayenne (spice),207
celery,celery,208
cellular telephone,cellular telephone,209
chair,chair,210
chaise longue,chaise longue,211
chalice,chalice,212
chandelier,chandelier,213
checkbook,checkbook,214
checkerboard,checkerboard,215
cherry,cherry,216
chessboard,chessboard,217
chicken (animal),chicken (animal),218
chili (vegetable),chili (vegetable),219
chime,chime,220
chinaware,chinaware,221
chocolate bar,chocolate bar,222
chocolate cake,chocolate cake,223
chocolate milk,chocolate milk,224
chocolate mousse,chocolate mousse,225
choker,choker,226
chopping board,chopping board,227
chopstick,chopstick,228
cider,cider,229
cigar box,cigar box,230
cigarette,cigarette,231
cigarette case,cigarette case,232
cincture,cincture,233
cistern,cistern,234
clarinet,clarinet,235
clasp,clasp,236
cleansing agent,cleansing agent,237
cleat (for securing rope),cleat (for securing rope),238
clementine,clementine,239
clip,clip,240
clipboard,clipboard,241
clippers (for plants),clippers (for plants),242
cloak,cloak,243
clock,clock,244
clock tower,clock tower,245
clothes hamper,clothes hamper,246
clothespin,clothespin,247
clutch bag,clutch bag,248
coaster,coaster,249
coat,coat,250
coat hanger,coat hanger,251
coatrack,coatrack,252
cock,cock,253
cockroach,cockroach,254
cocoa (beverage),cocoa (beverage),255
coconut,coconut,256
coffee maker,coffee maker,257
coffee table,coffee table,258
coffeepot,coffeepot,259
coil,coil,260
coin,coin,261
colander,colander,262
coloring material,coloring material,263
combination lock,combination lock,264
comic book,comic book,265
compass,compass,266
computer keyboard,computer keyboard,267
condiment,condiment,268
cone,cone,269
control,control,270
convertible (automobile),convertible (automobile),271
cooker,cooker,272
cookie,cookie,273
cooking utensil,cooking utensil,274
cooler (for food),cooler (for food),275
cork (bottle plug),cork (bottle plug),276
corkboard,corkboard,277
corkscrew,corkscrew,278
cornbread,cornbread,279
cornet,cornet,280
cornice,cornice,281
cornmeal,cornmeal,282
corset,corset,283
costume,costume,284
cougar,cougar,285
cover,cover,286
coverall,coverall,287
cow,cow,288
cowbell,cowbell,289
cowboy hat,cowboy hat,290
crab (animal),crab (animal),291
crabmeat,crabmeat,292
cracker,cracker,293
crape,crape,294
crate,crate,295
crawfish,crawfish,296
crayon,crayon,297
cream pitcher,cream pitcher,298
crescent roll,crescent roll,299
crib,crib,300
crisp (potato chip),crisp (potato chip),301
crossbar,crossbar,302
crouton,crouton,303
crow,crow,304
crowbar,crowbar,305
crown,crown,306
crucifix,crucifix,307
cruise ship,cruise ship,308
crutch,crutch,309
cub (animal),cub (animal),310
cube,cube,311
cucumber,cucumber,312
cufflink,cufflink,313
cup,cup,314
cupboard,cupboard,315
cupcake,cupcake,316
curtain,curtain,317
cushion,cushion,318
cylinder,cylinder,319
cymbal,cymbal,320
dagger,dagger,321
dalmatian,dalmatian,322
dartboard,dartboard,323
date (fruit),date (fruit),324
deadbolt,deadbolt,325
deck chair,deck chair,326
deer,deer,327
desk,desk,328
detergent,detergent,329
diaper,diaper,330
diary,diary,331
die,die,332
dinghy,dinghy,333
