class,vid_id
apple,103_12148_21353
apple,110_13051_23361
apple,110_13052_23173
apple,110_13053_23637
apple,110_13054_23182
apple,110_13057_23420
apple,110_13060_23672
apple,110_13064_25256
apple,120_14059_28189
apple,120_14065_29048
apple,120_14067_29180
apple,12_101_396
apple,12_104_640
apple,12_107_718
apple,12_108_643
apple,12_109_707
apple,12_90_489
apple,129_14948_30340
apple,12_92_460
apple,12_97_334
apple,138_15853_30823
apple,138_15854_31100
apple,14_203_1170
apple,151_16768_31681
apple,151_16771_32072
apple,151_16774_32223
apple,161_17678_33238
apple,161_17679_33270
apple,161_17681_33529
apple,161_17685_33706
apple,161_17687_33589
apple,171_18573_33846
apple,171_18574_33930
apple,171_18615_34188
apple,171_18639_34253
apple,171_18641_34258
apple,171_18644_34265
apple,171_18646_34267
apple,171_18647_34269
apple,171_18653_34307
apple,171_18655_34299
apple,171_18671_34825
apple,180_19473_35412
apple,189_20373_35768
apple,189_20378_35619
apple,189_20379_35626
apple,189_20385_37498
apple,189_20387_37543
apple,189_20388_37651
apple,189_20389_37571
apple,189_20393_38136
apple,189_20394_38442
apple,189_20396_38464
apple,189_20399_39001
apple,189_20402_39322
apple,189_20403_39418
apple,198_21279_40528
apple,198_21283_41063
apple,198_21284_41173
apple,198_21286_41434
apple,198_21290_41362
apple,198_21292_42377
apple,198_21294_42550
apple,198_21305_44480
apple,198_21306_44492
apple,198_21308_44513
apple,198_21310_44514
apple,210_22190_45287
apple,210_22191_45413
apple,210_22192_45289
apple,210_22197_44976
apple,210_22201_45657
apple,210_22202_46172
apple,210_22203_45710
apple,210_22204_46641
apple,210_22206_45753
apple,210_22214_46391
apple,210_22216_46396
apple,220_23188_47084
apple,220_23193_47359
apple,220_23194_47421
apple,220_23198_47985
apple,220_23200_48755
apple,220_23201_48799
apple,220_23212_48846
apple,220_23214_48905
apple,220_23216_48912
apple,220_23217_49295
apple,220_23222_49583
apple,229_24089_48727
apple,229_24090_49263
apple,239_25238_50942
apple,239_25243_51256
apple,239_25248_51997
apple,254_27341_53422
apple,254_27342_53960
apple,254_27343_53494
apple,254_27349_54239
apple,254_27355_54486
apple,254_27360_55518
apple,254_27364_55523
apple,263_28141_53185
apple,272_29054_56195
apple,272_29059_56449
apple,272_29061_56299
apple,272_29064_56962
apple,272_29066_56725
apple,272_29069_57147
apple,272_29071_57197
apple,272_29072_57338
apple,272_29074_57381
apple,272_29077_57710
apple,272_29078_57798
apple,272_29079_57799
apple,272_29080_57804
apple,290_30758_58511
apple,290_30762_58520
apple,290_30763_58533
apple,290_30764_58570
apple,290_30767_58613
apple,290_30768_58582
apple,290_30782_59528
apple,290_30786_59544
apple,308_32469_60183
apple,308_32475_60385
apple,308_32476_61130
apple,308_32478_60541
apple,308_32479_60545
apple,308_32480_61505
apple,308_32483_61126
apple,308_32484_61563
apple,308_32487_61549
apple,308_32488_61547
apple,333_33901_61867
apple,338_34901_63372
apple,339_34991_62322
apple,339_35000_62371
apple,339_35032_62627
apple,339_35069_63069
apple,339_35123_63240
apple,339_35165_63666
apple,339_35194_63840
apple,339_35208_63979
apple,339_35239_64250
apple,339_35245_64147
apple,341_35406_64622
apple,341_35457_64787
apple,341_35464_64848
apple,341_35473_64945
apple,341_35484_65160
apple,341_35529_65357
apple,341_35530_65361
apple,341_35561_65486
apple,341_35570_65531
apple,341_35572_65527
apple,341_35589_65590
apple,342_35798_64791
apple,342_35810_65026
apple,342_35827_65599
apple,342_35828_65628
apple,346_36040_66072
apple,346_36133_66705
apple,346_36139_66752
apple,350_36603_66799
apple,350_36616_67878
apple,350_36623_66857
apple,350_36631_67897
apple,350_36638_68633
apple,350_36658_68098
apple,350_36672_68063
apple,350_36676_67000
apple,350_36686_68258
apple,350_36691_68250
apple,350_36726_68504
apple,350_36753_68587
apple,350_36780_68727
apple,350_36798_68925
apple,350_36822_69151
apple,350_36824_69019
apple,350_36862_69110
apple,350_36890_69308
apple,350_36969_69347
apple,350_36972_69341
apple,351_37009_66846
apple,351_37011_67616
apple,351_37029_67695
apple,351_37039_66934
apple,351_37048_67462
apple,351_37051_68616
apple,351_37090_68533
apple,353_37195_69929
apple,353_37213_69709
apple,353_37215_69638
apple,353_37239_69784
apple,353_37326_70219
apple,353_37348_70263
apple,353_37383_70344
apple,353_37406_70593
apple,353_37419_70437
apple,353_37511_70600
apple,353_37588_70765
apple,354_37593_69712
apple,354_37601_70962
apple,354_37648_70069
apple,360_37802_71331
apple,360_37806_71737
apple,360_37809_71286
apple,360_37810_71597
apple,360_37811_71312
apple,360_37818_71431
apple,360_37827_72460
apple,360_37829_72153
apple,360_37832_71174
apple,360_37836_71984
apple,360_37850_72203
apple,360_37852_72452
apple,360_37856_72450
apple,360_37857_72528
apple,360_37862_72577
apple,360_37864_72648
apple,360_37867_72656
apple,363_38308_73028
apple,363_38324_72981
apple,363_38335_72833
apple,363_38341_73276
apple,363_38344_73054
apple,363_38360_73424
apple,363_38418_73448
apple,363_38421_73589
apple,363_38428_73473
apple,363_38452_73784
apple,363_38479_73965
apple,363_38506_73861
apple,363_38547_73996
apple,363_38684_74573
apple,364_38886_74883
apple,364_38930_74950
apple,364_38966_74997
apple,39_1748_5157
apple,39_1749_5095
apple,39_1751_5098
apple,39_1752_5101
apple,39_1753_5166
apple,39_1755_5190
apple,39_1757_5191
apple,39_1760_5220
apple,39_1761_5221
apple,39_1762_5241
apple,39_1764_5250
apple,39_1765_5170
apple,39_1766_5172
apple,39_1767_5177
apple,39_1768_5176
apple,39_1769_5179
apple,39_1770_5180
apple,39_1771_5181
apple,39_1772_5182
apple,39_1773_5183
apple,39_1774_5189
apple,39_1775_5185
apple,39_1776_5186
apple,39_1777_5188
apple,39_1778_5192
apple,39_1779_5193
apple,39_1780_5197
apple,39_1794_5216
apple,39_1796_5219
apple,39_1797_5223
apple,39_1799_5231
apple,39_1801_5229
apple,39_1802_5230
apple,39_1804_5233
apple,39_1805_5234
apple,39_1806_5235
apple,39_1807_5236
apple,39_1808_5237
apple,39_1809_5240
apple,39_1810_5239
apple,39_1812_5251
apple,39_1813_5253
apple,39_1814_5254
apple,39_1815_5296
apple,41_1916_5463
apple,41_1918_5543
apple,41_1921_5721
apple,41_1924_5393
apple,41_1926_5864
apple,41_1928_5845
apple,41_1933_5579
apple,41_1934_5868
apple,41_1939_6047
apple,41_1940_5843
apple,41_1941_5802
apple,41_1942_5610
apple,41_1943_5674
apple,41_1944_5742
apple,41_1945_5678
apple,41_1946_5667
apple,41_1948_5734
apple,41_1949_5730
apple,41_1950_5738
apple,41_1951_5846
apple,41_1952_5736
apple,41_1953_5798
apple,41_1957_5880
apple,41_1960_5850
apple,41_1963_5867
apple,41_1964_6048
apple,41_1965_5866
apple,41_1966_5872
apple,41_1968_5871
apple,41_1971_6049
apple,41_1973_6050
apple,41_1975_6051
apple,41_1976_5959
apple,41_1977_6052
apple,41_1979_6056
apple,43_2123_6510
apple,43_2124_6292
apple,43_2131_6479
apple,43_2132_6344
apple,43_2134_6384
apple,43_2135_6516
apple,43_2140_6527
apple,43_2142_6483
apple,43_2146_6544
apple,43_2147_6497
apple,43_2149_6518
apple,43_2151_6514
apple,43_2152_6520
apple,43_2153_6528
apple,43_2154_6524
apple,43_2155_6526
apple,43_2157_6531
apple,43_2158_6532
apple,43_2159_6535
apple,43_2160_6537
apple,43_2162_6539
apple,43_2163_6541
apple,43_2164_6543
apple,43_2166_6546
apple,43_2167_6547
apple,43_2169_6549
apple,43_2170_6550
apple,43_2171_6635
apple,43_2172_6552
apple,43_2174_6554
apple,43_2177_6557
apple,43_2178_6558
apple,43_2179_6559
apple,43_2180_6560
apple,43_2181_6561
apple,43_2183_6564
